网站名,品类,商家名称,地址,评分,人均消费
美团,美食,逆时光咖啡馆（青年会店）,台江区台江区苍霞路13号青年会广场1楼南侧～逆时光咖啡馆（中亭街，台江元洪）,4.6,49
美团,美食,越城记黑鱼煲（苏宁广场店）,台江区工业路233号苏宁广场4层,4.4,57
美团,美食,煲宝仔,台江区交通路152号万科广场（周麻婆旁）,4.6,60
美团,美食,小叫天泡椒活田鸡（万象城店）,台江区上海街道西环中路691号万象城商业广场（中央第五街对面）,4.7,45
美团,美食,福州世茂洲际酒店·福邸,台江区广达路108号世茂洲际酒店6楼（近茶亭公园）,5,220
美团,美食,左稻（融侨中心店）,台江区江滨西大道100号融侨中心ARTMALL4楼（皇冠假日酒店旁）,5,181
美团,美食,德克士（中亭街店）,台江区八一七南路中亭街嘉辉苑D座1楼（工商银行对面）,4.3,25
美团,美食,哈哈碳都·韩国料理,台江区鳌江路8号万达金街1楼164店,5,65
美团,美食,M·U·A美式手工汉堡（万科店）,台江区白马中路万科广场A地块S11-101-C-1号,4.9,68
美团,美食,德庄火锅（金融街万达广场店）,台江区鳌峰路金融街8号万达广场3楼（近曙光路）,5,79
美团,美食,桥亭活鱼小镇（茶亭店）,台江区八一七中路君临盛世八地块茶亭国际01号商铺,4.2,49
美团,美食,禄合門美蛙火锅（台江万达店）,台江区台江金街鳌峰路8号金融街万达广场C1-C4（招商银行正对面）,3.5,87
美团,美食,七恭冒菜（交通店）,台江区交通路58号,4.1,29
美团,美食,瑞可爷爷的店（宝龙城市广场店）,台江区工业路193号宝龙城市广场B1层,4.4,28
美团,美食,令狐冲·窑烤活鱼（宝龙店）,台江区宝龙城市广场外围尚水国际楼下,3.9,60
美团,美食,鲜芋仙（元洪店）,台江区台江路95号东百元洪购物广场负一层,3.9,19
美团,美食,DQ（万象城店）,台江区西环中路691号万象生活城万象生活城2层，星巴克咖啡隔壁,4.4,29
美团,美食,渔民码头海鲜火锅,台江区洋中路271号,4,86
美团,美食,美汉堡·炸鸡（大利嘉店）,台江区五一中路145号12-13号店,4,23
美团,美食,凡塔斯牛排餐厅（宝龙店）,台江区工业路193号宝龙城市广场B1层,3.6,63
美团,美食,恩盛隆永泰土菜馆,台江区鳌峰路174号,4.6,79
美团,美食,谷馍临特色肉夹馍（万象店）,台江区交通西路36-2号（万象城后门对面）,4.7,13
美团,美食,探鱼（苏宁广场店）,台江区工业路233号苏宁广场5层,4.1,83
美团,美食,蒸膳舫海鲜蒸汽,台江区振武路55号三迪中心商场二楼,4.6,142
美团,美食,萨贝尔(宝龙城市广场店),台江区工业路193号宝龙城市广场5层,3.7,81
美团,美食,国惠大酒楼（宝龙店）,台江区工业路193号宝龙城市广场正后侧（近万象城）,4.2,105
